gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
8626,1,3,8/31/1987,7/21/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PLACER DOME INC,PDG,725906101,819996,1040,212221
2055,1,3,11/1/1993,7/21/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BARRICK GOLD CORP,ABX,67901108,756894,1040,212221
12603,1,3,1/15/1997,7/24/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CNO FINANCIAL GROUP INC,CNO,208464107,1224608,6321,524114
132502,1,3,7/28/2000,8/13/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PALM INC,PALM,696643105,1100389,3571,334111
24803,1,3,12/12/2000,8/20/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,VITESSE SEMICONDUCTOR CORP,VTSS,928497304,880446,3674,334413
114303,3,3,8/9/1999,9/2/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONOCO INC,COC1,208251504,1066806,2911,324110
3226,2,3,12/1/1993,11/18/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COMCAST CORP,CMCSA,20030N200,1166691,4841,515210
10301,1,3,3/31/1964,12/11/2002,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TRW INC,TRW.1,872649108,100030,3714,336330
11135,1,3,2/1/2002,2/23/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,RATIONAL SOFTWARE CORP,RATL,75409P202,722056,7370,541519
1045,1,3,3/31/1964,3/13/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN AIRLINES GROUP INC,AAL,1765106,6201,4512,481111
12589,1,3,1/8/1997,3/20/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HEALTHSOUTH CORP,HLS,421924309,785161,8060,622310
5735,1,3,3/31/1964,3/30/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HSBC FINANCE CORP,HBC1,441815107,354964,6141,522291
7536,1,3,3/31/1964,4/15/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PHARMACIA CORP,PHA.1,71713U102,67686,2834,325412
140033,1,3,4/3/2001,7/16/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENON ENERGY INC,GEN.3,604675108,1010775,4911,22111
7152,1,3,9/30/1971,8/19/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MCDERMOTT INTL INC,MDR,580037109,708819,3730,336611
30095,1,3,11/16/1999,9/25/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,QUINTILES TRANSNATIONAL CORP,0573B,748767100,919623,8731,541710
2226,1,3,1/31/2000,11/12/2003,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BIOGEN INC-OLD,BGEN,90597105,714655,2836,325414
3373,1,3,4/2/2001,2/26/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONCORD EFS INC,CE.2,206197105,740112,6099,522320
62897,1,3,5/31/1996,3/24/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TUPPERWARE BRANDS CORP,TUP,899896104,1008654,3089,326199
4764,1,3,11/30/1988,3/31/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FLEETBOSTON FINANCIAL CORP,FBF,339030108,50341,6020,522110
9380,1,3,6/30/1976,4/1/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ST PAUL COS,SPC.2,79299X952,,6331,524126
116245,1,3,11/24/1998,4/22/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SPRINT PCS GROUP,PCS.1,852061506,,4812,517212
128659,1,3,6/28/2001,4/28/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HANCOCK JOHN FINL SVCS INC,JHF,41014S106,736260,6311,524113
1468,1,3,10/31/1989,5/2/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN GREETINGS  -CL A,AM.1,26375105,5133,2771,511191
62689,5,3,8/21/2002,5/4/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TRAVELERS COS INC,TRV,8.94E+113,86312,6331,524126
1998,1,3,4/30/1988,6/30/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BANK ONE CORP,ONE.1,06423A103,1067092,6020,522110
10868,1,3,10/1/1998,6/30/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNION PLANTERS CORP,UPC.,908068109,100893,6020,522110
10540,1,3,12/31/1974,8/2/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,THOMAS & BETTS CORP,TNB,884315102,97854,3640,335931
16751,1,3,6/19/2000,8/31/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CHARTER ONE FINANCIAL INC,CF.6,160903100,819692,6020,522110
134845,1,3,7/9/2001,10/26/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AT&T WIRELESS SERVICES INC,AWE.2,00209A106,1138234,4812,517212
9880,1,3,3/1/1999,10/31/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SOUTHTRUST CORP,SOTR,844730101,92081,6020,522110
27766,1,3,6/9/1999,11/30/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WELLPOINT HEALTH NETWRKS INC,WLP.1,94973H108,1013220,6324,524114
11535,1,3,3/31/1964,12/2/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WINN-DIXIE STORES INC,WINN,974280109,107681,5411,445110
3580,1,3,3/31/1964,12/19/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CRANE CO,CR,224399105,25445,3490,332912
3863,1,3,4/30/1986,12/19/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DELUXE CORP,DLX,248019101,27996,2780,3231
11600,1,3,7/31/1988,12/19/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WORTHINGTON INDUSTRIES,WOR,981811102,108516,3310,331221
25944,1,3,10/2/1998,12/28/2004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PEOPLESOFT INC,PSFT.,712713106,875570,7372,511210
65554,1,3,10/23/2000,3/13/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,POWER-ONE INC,PWER,73930R102,1042825,3679,3344
